,cocktail_name,glass_id,category_ids
205,Easter Elchies,4,1
206,Dufftown Flip,207,1
207,Harvard Cooler,5,7
208,The Duboudreau Cocktail,4,1
209,Irish Whisky ,4,8
210,Dubliner,4,1
211,Double Standard Sour,4,1
212,Dixie Whiskey Cocktail,4,1
213,Hill Billy Highball,39,8
214,The Titian,4,11
215,Tiger Tanaka,4,11
216,Grenadine Rickey,39,8
217,Thyme Collins,5,11
218,Tabby Cat,4,11
219,God Child,9,8
220,Sweet Maria,4,11
221,Dirty Harry,4,1
222,Harvard Cocktail,4,7
223,Gin and Milk Punch,5,8
224,Surf Rider,39,11
225,Dinah Cocktail,4,1
226,The Summer Of Love,4,11
227,Devil's Soul,4,1
228,Deshler,9,1
229,T.N.T. No. 1,4,8
230,Stupid Cupid,4,11
231,Derby,4,1
232,Stockholm 75,4,11
233,The Delmarva Cocktail,4,1
234,Sputnik,235,11
235,Gotham,1,7
236,De La Louisiane,4,1
237,The Debonair,4,1
238,Soviet,1,11
239,Daisy Dueller,39,1
240,Sonic Blaster,5,11
241,Creole Lady,4,1
242,Rum Coooler,5,8
243,Siberian Sleighride,207,11
244,Cotton Club Flip,1,1
245,Golden Dawn,1,7
246,Sidecar,4,8
247,Shalom,1,11
248,Commodore Cocktail,9,1
249,Sea Breeze,39,11
250,Screwdriver,39,11
251,Coffee Old-Fashioned,1,1
252,Salty Dog,39,11
253,Dr. Cook,235,8
254,Chi-Town Flip,5,1
255,Chef's Pain,4,11
256,Sampan Shipwreck A,4,11
257,Chas,4,1
258,Goat's Delight,4,7
259,Russian Bear Cocktail,4,11
260,Character Development,4,1
261,Ruby Red,4,11
262,Chaplin,4,1
263,Rouxby Red,4,11
264,Rosemary Clementine Sparkle,4,11
265,Chapel Hill,4,1
266,Robin's Nest,4,11
267,Chancellor Cocktail,4,1
268,Carre Reprise,1,1
269,Gilroy Cocktail,4,7
270,Redhead Martini,4,11
271,Red Apple,4,11
272,Canal Street Daisy,5,1
273,Canadian Cocktail,4,1
274,Purple Ruby,4,11
275,Canadian Cherry,1,1
276,Orange Smile,235,8
277,Purple Passion Iced Tea,39,11
278,Canadian Breeze,1,1
279,Purple Passion,5,11
280,Cameron's Kick Cocktail,4,1
281,Georgia Mint Julep,5,7
282,California Lemonade,5,1
283,Boston Side Car ,4,8
284,Cablegram,39,1
285,Bull And Bear,4,1
286,Brooklyn,4,1
287,Brighton Punch,5,1
288,Bourbon Renewal,1,1
289,Bourbon Highball,39,1
290,Bourbon And Elder,1,1
291,Bourbon Crusta,4,1
292,Bourbon Cooler,1,1
293,Froupe Cocktail,4,7
294,Bourbon A La Creme,1,1
295,The Bone,296,1
296,Bobby Burns Cocktail,4,1
297,White Cargo Cocktail,1,8
298,Blood and Sand,4,1
299,The Blinker,4,1
300,Pike's Peak Cooler,5,8
301,Blarney Stone Cocktail,4,1
302,Pacman,5,8
303,Lemonade (Golden),5,8
304,Black Hawk,4,1
305,Lemonade (Egg),5,8
306,Bensonhurst,4,1
307,The Beautiful Day,1,1
308,French Quarter,4,7
309,Creme de Gin Cocktail,4,8
310,Creamy Screwdriver,5,8
311,Creamy Orange,4,8
312,Creamsicle,5,8
313,Cowboy Cocktail,4,8
314,Beals Cocktail,4,1
315,Coronation Cocktail,4,8
316,Cornell Cocktail,4,8
317,Combo,1,8
318,Basin Street,4,1
319,Cole's Raspberry Cream,9,8
320,Cognac Coupling,1,8
321,Coffee Sour,192,8
322,Coffee Flip,192,8
323,Coffee Cocktail,192,8
324,Purple Mask,4,11
325,Clove Cocktail,4,8
326,Clover Leaf Cocktail,4,8
327,Clover Club Cocktail,4,8
328,Priority Cocktail,4,11
329,Clamato Cocktail,1,8
330,Cider Eggnog,5,8
331,Chocolate Soldier,4,8
332,Chocolate Flip,192,8
333,Chocolate Cocktail,192,8
334,Chicago Fizz,39,8
335,Pretty In Pink,5,11
336,Cherry Wine Cocktail,4,8
337,Cherry Flip,192,8
338,Cherry Cooler,5,8
339,Polynesian Cocktail,4,11
340,Chateau Briand's Rum Cow,5,8
341,Champagne Velvet,9,8
342,Pink Pussycat,39,11
343,Back Porch Swizzle,39,1
344,Canadian Pineapple,1,8
345,Calm Voyage,9,8
346,Pink Lemonade,5,11
347,Caledonia,1,8
348,Cafe De Paris Cocktail,4,8
349,Aztec's Mark,4,1
350,Fontainebleau Special,4,7
351,Suntan,39,8
352,Sunburn,39,8
353,Suissesse Cocktail,4,8
354,Strawberry Sunries,39,8
355,Autumn Leaves,1,1
356,Pickled Pink,4,11
357,Aquarius,1,1
358,Soul Kiss Cocktail,4,8
359,Pickled Martini,4,11
360,Sloe Gin Flip,192,8
361,Angel's Share,4,1
362,Silver Stallion Fizz,39,8
363,Silver King Cocktail,4,8
364,American Trilogy,1,1
365,Silver Fizz,39,8
366,Sherry Twist Cocktail,4,8
367,Sherry Sangaree,1,8
368,Sherry Milk Punch,5,8
369,Petit Zinc,4,11
370,Sherry Flip,192,8
371,Sherry-and-Egg Cocktail,4,8
372,Americana,5,1
373,Allegheny,4,1
374,Sevilla Cocktail,192,8
375,September Morn Cocktail,4,8
376,Peach Iced Tea,5,11
377,Fantasio Cocktail,4,7
378,Scotch Bird Flyer,9,8
379,Algonquin,4,1
380,Savannah,4,8
381,Pink Rose Fizz,39,8
382,Ninotchka Cocktail,4,11
383,Prairie Oyster,1,8
384,Prairie Chicken,235,8
385,Pousse L'Amour,386,8
386,Puerto Apple,1,8
387,Akogare,4,1
388,Prado,192,8
389,Port Wine Flip,192,8
390,Port Wine Cobbler,235,8
391,Nijinksy Blini,9,11
392,Affinity Cocktail (whisky),4,1
393,Plain Vermouth Cocktail,4,8
394,Ping-Pong Cocktail,4,8
395,Moscow Mule,135,11
396,Phoebe Snow,4,8
397,Affinity Cocktail,4,1
398,Peggy Cocktail,4,8
399,Peach Blow Fizz,39,8
400,Peach Blossom,39,8
401,Passion Mimosa,9,8
402,Mocha Express,4,11
403,Palmer Cocktail,4,8
404,Mr. 404,4,11
405,Mountain Cocktail,4,8
