,cocktail_name,glass_id,category_ids
902,Mexican Firing Squad,39,2
903,Mexicana,4,2
904,El Presidente Cocktail No. 2,4,5
905,Margarita Tequila,4,4
906,Lillypad,4,2
907,X. Y. Z. Cocktail,4,8
908,La Ultima Palabra,4,2
909,La Perla,4,2
910,Bull's Milk,5,7
911,La Bomba,4,2
912,Jinx Cocktail,4,2
913,The Interesting Cocktail,4,2
914,Hot Pants,1,2
915,High Plains Drifter No. 1,4,2
916,Hairy Sunrise,5,2
917,Guadalajara,4,2
918,Frostbite,4,2
919,Flower Power,4,2
920,Cablegram Highball,39,8
921,Cabaret Cocktail,4,8
922,Bulla's Eye,39,7
923,El Oso (The Bear),4,2
924,El Nino,1,2
925,El Molino,4,2
926,Bucks Fizz,5,8
927,Dirty Daisy,4,2
928,Diablo,5,2
929,Count Camillo's Paloma,5,2
930,Company B,4,2
931,Chupa Cabra,4,2
932,Chinchona,4,2
933,Chapala,457,2
934,Bulldog Cocktail,4,7
935,Boston Sidecar Cocktail,4,8
936,Catalina Margarita,4,2
937,Camino Del Ray,4,2
938,Cactus Berry,4,2
939,Bolero Cocktail,4,8
940,Bum's Rush,5,2
941,Brave Bull,1,2
942,Blue Margarita,4,2
943,Bloody Maria,1,2
944,Pineapple Dream Cocktail,4,8
945,Big Red Hooter,5,2
946,Blood Bronx Cocktail,4,8
947,Bravo,1,2
948,Amante Picante,4,2
949,Brunswick Street Cocktail,4,7
950,Black Hawk Cocktail,4,8
951,Alamo Splash,5,2
952,Betsy Ross Cocktail,4,8
953,Bermuda Rose Cocktail,4,8
954,Yokahama Romance,4,6
955,Yale Cocktail,4,6
956,Xanthia Cocktail,4,6
957,Woodstock,4,6
958,Wolf's Bite,4,6
959,Barbary Coast Cocktail,4,8
960,The Winkle,4,6
961,The Wink,1,6
962,Will Rogers,4,6
963,Brandy Vermouth Cocktail,4,7
964,White Spider,4,6
965,White Lady,4,6
966,Western Rose,4,6
967,May Blosson Fizz,39,8
968,Wembly Cocktail,4,6
969,Apple Pie Cocktail,4,8
970,Water Lily,4,6
971,Wallis Blue Cocktail,1,6
972,Minnehaha Cocktail,4,8
973,Wallick Cocktail,4,6
974,Waikiki Beachcomber,4,6
975,Vow Of Silence,4,6
