name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
Chaplin,Whiskies,3/4 oz, Bourbon whiskey,3/4 oz, Dry Sherry,3/4 oz, Ramazzotti Amaro,1 oz, Triple Sec,2 oz, Orange Bitters,, Lemon twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Rouxby Red,Vodka,For glass,"For glass Lemon wedge, coarse salt",1 1/2 oz, Grapefruit-flavored vodka,1/4 oz, Fresh lemon juice,3/4 oz, Grapefruit Juice,1/2 oz, Campari,1/2 oz, Simple Syrup,Rim chilled cocktail glass with lemon and salt. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6
Rosemary Clementine Sparkle,Vodka,1/4 oz, Clementine or mandarin orange,1 1/2 oz, Vodka,3/4 oz, Fresh lemon juice,3/4 oz, Honey Syrup,1 oz, Fresh rosemary sprig,1 oz, Chilled sparkling wine or Champagne,"Squeeze clementine into mixing glass. Twist rind and add to glass. Add vodka, lemon juice, syrup, and rosemary sprig. Add ice and shake. Strain into chilled cocktail glass. Top with sparkling wine or Champagne. Garnish with rosemary sprig.",Cocktail Glass,6
Chapel Hill,Whiskies,2 oz, Bourbon whiskey,1/2 oz, Triple Sec,1/2 oz, Fresh lemon juice,, Orange twist,,,,,Shake with ice and strain into chilled cocktail glass. Garnish with a orange twist.,Cocktail Glass,6
Robin's Nest,Vodka,1 oz, Vodka,1 oz, Cranberry Juice,1/2 oz, White creme de cacao,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Chancellor Cocktail,Whiskies,1 1/2 oz, Blended Scotch Whiskey,1/2 oz, Dry Vermouth,1/2 oz, Tawny port,1 oz, Peychaud's Bitters, Lemon twist,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Cafe di Saronno,Cocktail Classics,1 oz, Amaretto di Saronno,, Hot Black Coffee,,,,,,,,,Add 1 oz. Amaretto di Saronno to a cup of black coffee. Top with whipped cream.,Beer Mug,10
Carre Reprise,Whiskies,1 oz, Straight rye whiskey,1 oz, Cognac,1 oz, Sweet Vermouth,1/2 oz, Elderflower liqueur,1 oz, Angostura Bitters,1 oz, Peychaud's Bitters,Stir with ice. Strain into ice-filled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Gilroy Cocktail,Brandy,3/4 oz, cherry-flavored brandy,3/4 oz, Gin,1/2 oz, Dry Vermouth,1/2 oz, Fresh lemon juice,1 oz, Orange Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Redhead Martini,Vodka,4 oz," Strawberries, cut into halves",3/4 oz, Fresh lemon juice,3/4 oz, Simple Syrup,1 1/2 oz, Citrus-flavored vodka,1 oz, Chilled Moscato d'Asti or sweet sparkling wine,, Strawberry,Muddle halved strawberries in mixing glass with lemon juice and syrup. Add vodka and ice and shake well. Strain into chilled cocktail glass. Add sparkling wine. Garnish with a strawberry slice.,Cocktail Glass,6
Red Apple,Vodka,1 1/2 oz, Vodka,1 oz, Apple juice,1/2 oz, Fresh lemon juice,1 oz, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Canal Street Daisy,Whiskies,1 oz, Blended Scotch Whiskey,1 oz, Orange juice,3/4 oz, Fresh lemon juice,1 oz, Soda water,1 oz, Orange wheel,,,Add Scotch and juices to ice-filled Collins glass and stir. Fill with soda water and stir again. Garnish with an orange slice.,Collins Glass,14
Canadian Cocktail,Whiskies,1 1/2 oz, Canadian whisky,1/2 oz, Triple Sec,1/2 oz, Simple Syrup,1 oz, Angostura Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Purple Ruby,Vodka,1 1/2 oz, Vodka,1 1/2 oz, Pomegranate juice,1/2 oz, Grapefruit Juice,1/4 oz, Fresh Lime Juice,1/4 oz, Honey Syrup,, Grapefruit twist,Shake with ice and strain into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6
Canadian Cherry,Whiskies,1 oz, Maraschino liqueur,1 1/2 oz, Canadian whisky,1/2 oz, Maraschino liqueur,1/2 oz, Fresh lemon juice,1/2 oz, Orange juice,,,Moisten rim of old-fashioned glass with maraschino liqueur. Fill with ice. Shake ingredients with ice and strain into glass.,Old-Fashioned Glass,6
Orange Smile,Cocktail Classics,1 oz, Egg,1 oz, Juice of Orange,1 oz, Grenadine,,,,,,,Shake with ice and strain into stem goblet.,Red-Wine Glass,12
Purple Passion Iced Tea,Vodka,1/2 oz, Vodka,1/2 oz, Light Rum,1/2 oz, Gin,1/2 oz, Black raspberry liqueur,1/2 oz, Simple Syrup,3/4 oz, Fresh lemon juice and 3 oz,Pour ingredients into ice-filled highball glass in order listed and stir. Garnish with a lemon twist.,Highball Glass,7
Canadian Breeze,Whiskies,1 1/2 oz, Canadian whisky,3/4 oz, Pineapple Juice,1/2 oz, Fresh lemon juice,1/4 oz, Maraschino liqueur,1 oz," Pineapple wedge, maraschino cherry",,,Shake with ice. Strain into ice-filled old-fashioned glass. Garnish with a pineapple slice and a cherry.,Old-Fashioned Glass,6
Purple Passion,Vodka,1 1/2 oz, Vodka,2 oz, Grapefruit Juice,2 oz, Concord grape juice,1/2 oz, Simple Syrup,,,,,Shake with ice. Pour with ice into Collins glass.,Collins Glass,14
Cameron's Kick Cocktail,Whiskies,3/4 oz, Blended Scotch Whiskey,3/4 oz, Irish Whiskey,1/2 oz, Fresh lemon juice,2 oz, Orange Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Georgia Mint Julep,Brandy,2 oz, Mint sprigs,1/4 oz, Simple Syrup,1 1/2 oz, Brandy,1 oz, Peach-flavored brandy, mint sprigs,,,,Muddle mint and syrup in Collins glass. Fill with ice. Add brandy and peach-flavored brandy. Stir and garnish with mint.,Collins Glass,14
California Lemonade,Whiskies,2 oz, Bourbon whiskey,1 oz, Fresh lemon juice,1 oz, Fresh Lime Juice,1 oz, Simple Syrup,1/4 oz, Grenadine,1 oz," Soda water, Orange and lemon wheels, maraschino cherry","Shake first five ingredients with ice. Strain into shaved ice-filled Collins glass. Fill with soda water and garnish with an orange slice, a lemon slice, and a cherry. Serve with straws.",Collins Glass,14
Boston Side Car ,Cocktail Classics,3/4 oz, Mr. Boston Five Star Brandy,3/4 oz, Mr. Boston Rum,3/4 oz, Mr. Boston Triple Sec,1/2 oz, Juice of a Lime,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Cablegram,Whiskies,2 oz, Bourbon whiskey,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Ginger ale,,,,,Stir first three ingredients in ice-filled highball glass. Fill with ginger ale.,Highball Glass,7
Bull And Bear,Whiskies,1 1/2 oz, Bourbon whiskey,3/4 oz, Orange curacao,1 oz, Fresh lemon juice,1/4 oz, Grenadine," Maraschino cherry, orange half-wheel",,,,Shake with ice and strain into chilled cocktail glass. Garnish with a cherry and an orange slice.,Cocktail Glass,6
Brooklyn,Whiskies,1 1/2 oz, Rye or bourbon whiskey,1/2 oz, Sweet Vermouth,1 oz, Amer Picon or Torani Amer,1 oz, Maraschino liqueur,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Brighton Punch,Whiskies,3/4 oz, Bourbon whiskey,3/4 oz, Brandy,3/4 oz, Benedictine,2 oz, Orange juice,1 oz, Fresh lemon juice,," Soda water, orange and lemon wheels",Shake first five ingredients with ice and pour with ice into Collins glass. Fill with soda water and stir gently. Garnish with an orange slice and a lemon slice and serve with a straw.,Collins Glass,14
Bourbon Renewal,Whiskies,2 oz, Bourbon whiskey,1 oz, Fresh lemon juice,1/2 oz, Creme de Cassis,1/2 oz, Simple Syrup,1 oz, Angostura Bitters,,,Shake with ice. Strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Bourbon Highball,Whiskies,2 oz, Bourbon whiskey,, Ginger ale or soda water,, Lemon twist,,,,,,,Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water and stir. Garnish with a lemon twist.,Highball Glass,7
Bourbon And Elder,Whiskies,2 oz, Bourbon whiskey,3/4 oz, Elderflower liqueur,1 oz, Angostura Bitters,, Lemon twist,,,,,Stir with ice and strain into chilled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Bourbon Crusta,Whiskies,For glass," Lemon wedge, superfine sugar,  Long, wide spiral of orange zest",2 oz, Bourbon whiskey,1/2 oz, Triple Sec,1 oz, Maraschino liqueur,1 oz, Fresh lemon juice,2 oz, Orange Bitters,Rim chilled cocktail glass with lemon and sugar. Curl the zest spiral in glass. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6
Bourbon Cooler,Whiskies,2 1/2 oz, Bourbon whiskey,1/2 oz, Fresh lemon juice,1/2 oz, Grapefruit Juice,1/2 oz, Orgeat Syrup, Peach slice,,,,Shake with ice in mixing glass. Pour with ice into old-fashioned glass. Garnish with a peach slice.,Old-Fashioned Glass,6
Froupe Cocktail,Brandy,1 1/2 oz, Brandy,1 1/2 oz, Sweet Vermouth,1 oz, Benedictine,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Bourbon A La Creme,Whiskies,2 oz, Bourbon whiskey,1 oz, Dark creme de cacao,1/2 oz, Vanilla liqueur,,,,,,,Stir ingredients with ice. Strain into chilled old-fashioned glass.,Old-Fashioned Glass,6
The Bone,Whiskies,2 oz, Bourbon whiskey,1/2 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,3 oz, Hot red pepper sauce,,,,,Shake with ice and strain into chilled shot glass.,Shot Glass,1
Bobby Burns Cocktail,Whiskies,1 1/2 oz, Blended Scotch Whiskey,1 1/2 oz, Sweet Vermouth,1 oz, Benedictine,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Bloody Scotsman,Whiskies,24 oz," Smoky Scotch whisky, such as Laphroaig",24 oz, Tomato Juice,24 oz, V8 cocktail juice,1c, ketchup,3 oz, Fresh Lime Juice,3 oz," Simple Syrup, 3/4 oz","Mix ingredients together, stirring often, in a large container, adding salt to taste. Chill for at least 24 hours before serving. Serve in ice-filled old-fashioned glasses.",Old-Fashioned Glass,6
White Cargo Cocktail,Cocktail Classics,1 oz, Vanilla Ice Cream,1 oz, Mr. Boston Gin,,,,,,,,,Shake until thoroughly mixed and add water or sauterne if the mixture if too thick. Serve in an old-fashioned glass.,Old-Fashioned Glass,6
Blood and Sand,Whiskies,1/2 oz, Blended Scotch Whiskey,1/2 oz, cherry-flavored brandy,1/2 oz, Sweet Vermouth,1/2 oz, Orange juice,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
The Blinker,Whiskies,2 oz, Straight rye whisky,1 1/2 oz, Grapefruit Juice,1 oz, Raspberry Syrup,, Grapefruit twist or skewered raspberry,,,,,Shake and strain into cocktail glass. Garnish with a grapefruit twist or a raspberry.,Cocktail Glass,6
Pike's Peak Cooler,Cocktail Classics,,Cider,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Whole Egg,,,,,Shake with ice and strain into collins glass with cracked ice. Fill with cider and stir. Garnish with an orange twist or lemon twist.,Collins Glass,14
Blarney Stone Cocktail,Whiskies,2 oz, Irish Whiskey,1/2 oz, Anisette,1/2 oz, Triple Sec,1/2 oz, Maraschino liqueur,1 oz, Angostura Bitters,1 oz," Orange twist, green olive",Shake with ice and strain into chilled cocktail glass. Garnish with an orange twist and olive.,Cocktail Glass,6
Pacman,Cocktail Classics,2 oz, Lemon Juice,1 oz, Grenadine,1 oz, Bitters,, Ginger ale,,,,,"Add grenadine, lemon juice, and bitters to collins filled with ice. Top with ginger ale. Garnish with an orange slice and slide down side of glass.",Collins Glass,14
Lemonade (Golden),Cocktail Classics,1 oz, Juice of a Lemon,2 oz, Powdered Sugar,1 oz, Egg Yolk,6 oz, Water,,,,,"Shake with ice and strain into collins glass. Garnish with an orange slice, a lemon slice, and a cherry.",Collins Glass,14
Black Hawk,Whiskies,1 1/2 oz, Bourbon whiskey,1 1/2 oz, Sloe gin,1 oz, Maraschino cherry,,,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Lemonade (Egg),Cocktail Classics,1 oz, Juice of a Lemon,2 oz, Powdered Sugar,1 oz, Whole Egg,,,,,,,Shake and strain into collins glass over ice cubes. Add enough water to fill glass. Serve with straws.,Collins Glass,14
Bensonhurst,Whiskies,1 oz, Cynar,2 oz, Straight rye whiskey,1 oz, Dry Vermouth,1/4 oz, Maraschino liqueur,,,,,Swirl Cynar in chilled cocktail glass to coat inside; discard excess Cynar. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6
Chocolate Daisy,Cocktail Classics,1/2 oz, Juice of a Lemon,1/2 oz, Powdered Sugar,1 oz, Grenadine,1 1/2 oz, Brandy,1 1/2 oz, Port,,,Shake with ice and strain into stein or metal cup. Add ice cubes and decorate with fruit,Beer Mug,10
The Beautiful Day,Whiskies,1 1/4 oz, Irish Whiskey,3/4 oz, Rhubarb Syrup,2 oz, Cold brewed green tea,, Edible flowers,,,,,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with edible flowers.,Old-Fashioned Glass,6
French Quarter,Brandy,2 oz, Brandy,3/4 oz, Lillet Blanc,, Lemon quarter-wheel,,,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon slice.,Cocktail Glass,6
Creme de Gin Cocktail,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, White creme de menthe,1 oz, Egg White,2 oz, Lemon Juice,2 oz, Orange Juice,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Creamy Screwdriver,Cocktail Classics,2 oz, Vodka,1 oz, Egg Yolk,6 oz, Orange Juice,1 oz, Sugar,,,,,Combine all ingredients with a half-cup of crushed ice in an electric blender. Blend at low speed and pour into collins glass.,Collins Glass,14
Creamy Orange,Cocktail Classics,1 oz, Orange Juice,1 oz, Cream sherry,3/4 oz, Brandy,1 oz, Light cream,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Creamsicle,Cocktail Classics,1 1/2 oz, Vanilla liqueur,1 1/2 oz, Milk,3 oz, Orange Juice,,,,,,,"Fill a tall glass with ice, add the above ingredients, and stir.",Collins Glass,14
Cowboy Cocktail,Cocktail Classics,1 1/2 oz, Blended whiskey,1 oz, Light cream,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Beals Cocktail,Whiskies,1 1/2 oz, Blended Scotch Whiskey,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Coronation Cocktail,Cocktail Classics,3/4 oz, Gin,3/4 oz, Dubonnet,3/4 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Cornell Cocktail,Cocktail Classics,1/2 oz, Lemon Juice,1 oz, Maraschino,1 oz, Egg White,1 1/2 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Combo,Cocktail Classics,2 1/2 oz, Dry Vermouth,1 oz, Brandy,1/2 oz, Triple Sec,1/2 oz, Powdered Sugar,1 oz, Bitters,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Basin Street,Whiskies,2 oz, Bourbon whiskey,3/4 oz, Triple Sec,3/4 oz, Fresh lemon juice,,,,,,,Shake well with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Cole's Raspberry Cream,Cocktail Classics,1 1/2 oz, Raspberry Yogurt,1 1/2 oz, Raspberry Ice Cream,1 1/2 oz, White creme de cacao,1 1/2 oz, Vodka,2 oz, Heavy cream,,,Shake or blend.,Champagne Flute,6
Cognac Coupling,Cocktail Classics,2 oz, Cognac,1 oz, Tawny port,1/2 oz, Anis,1 oz, Lemon Juice,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Coffee Sour,Cocktail Classics,1 1/2 oz, Coffee-flavored brandy,1 oz, Lemon Juice,1 oz, Powdered Sugar,1/2 oz, Egg White,,,,,Shake with ice and strain into sour glass.,Sour Glass,5
Coffee Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 oz, Brandy,1 oz, Port,2 oz, Light Cream (if desired),,,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5
Coffee Cocktail,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 oz, Port,1 oz, Brandy,,,,,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5
Purple Mask,Vodka,1 oz, Vodka,1 oz, Concord grape juice,1/2 oz, White creme de cacao,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Clove Cocktail,Cocktail Classics,1 oz, Sweet Vermouth,1/2 oz, Sloe gin,1/2 oz, Muscatel Wine,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Clover Leaf Cocktail,Cocktail Classics,1 oz, Juice of a Lime,2 oz, Grenadine,1 oz, Egg White,1 1/2 oz, Gin,,,,,Shake with ice and strain into cocktail glass. Garnish with mint.,Cocktail Glass,6
Clover Club Cocktail,Cocktail Classics,1 oz, Juice of a Lemon,2 oz, Grenadine,1 oz, Egg White,1 1/2 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Priority Cocktail,Vodka,2 oz, Vodka,1/2 oz, Calvados,1/2 oz, Coffee liqueur,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6
Clamato Cocktail,Cocktail Classics,1 1/2 oz, Vodka,1 oz, Clam Juice,3 oz, Tomato Juice,,,,,,,"Shake with ice, strain, and serve over ice cubes in old-fashioned glass.",Old-Fashioned Glass,6
Cider Eggnog,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1/2 oz, Milk,,,,,,,Shake with ice and strain into collins glass. Then fill the glass with cider and stir. Top with nutmeg.,Collins Glass,14
Chocolate Soldier,Cocktail Classics,1/2 oz, Juice of a Lime,3/4 oz, Dubonnet,1 1/2 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Chocolate Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,3/4 oz, Sloe gin,3/4 oz, Brandy,2 oz, Light Cream (if desired),,,Shake with ice and strain into sour glass. Top with nutmeg .,Sour Glass,5
Chocolate Cocktail,Cocktail Classics,1 1/2 oz, Port,1 1/2 oz, Yellow Chartreuse,1 oz, Egg Yolk,1 oz, Powdered Sugar,,,,,Shake with ice and strain into sour glass.,Sour Glass,5
Chicago Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Egg White,1 oz, Port,1 oz, Light Rum,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Pretty In Pink,Vodka,2 oz, Vodka,1/2 oz, Cranberry Juice,3/4 oz, Creme de noyaux,3/4 oz, Fresh lemon juice, Soda water,,,,Shake first four ingredients and strain into ice-filled Collins glass. Top with soda water.,Collins Glass,14
Cherry Wine Cocktail,Cocktail Classics,3/4 oz, Danish Cherry Wine,3/4 oz, Vodka,1/2 oz, Juice of a Lime,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Cherry Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 1/2 oz, cherry-flavored brandy,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5
Cherry Cooler,Cocktail Classics,2 oz, Cherry Vodka,, Cola,,,,,,,,,"Pour cherry vodka into collins glass over ice cubes. Fill with cola, garnish with a lemon slice, and stir.",Collins Glass,14
Polynesian Cocktail,Vodka,," Lime wedge, superfine sugar",1 1/2 oz, Vodka,3/4 oz, cherry-flavored brandy,3/4 oz, Fresh Lime Juice,,,,,Rim chilled cocktail glass with lime and sugar. Shake ingredients with ice and strain into glass.,Cocktail Glass,6
Chateau Briand's Rum Cow,Cocktail Classics,1 1/4 oz, Dark rum,1 oz, Sugar,2 oz, Bitters,3/4 oz, Milk,,,,,Blend and strain into a collins glass.,Collins Glass,14
Champagne Velvet,Cocktail Classics,5 oz, Chilled Stout,5 oz, Chilled Champagne,,,,,,,,,"Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. ",Champagne Flute,6
Pink Pussycat,Vodka,1 1/2 oz, Vodka,2 oz, Pineapple or grapefruit juice,1/2 oz, Grenadine,,,,,,,Pour ingredients into ice-filled highball glass and stir.,Highball Glass,7
Back Porch Swizzle,Whiskies,1 1/2 oz, Bourbon whiskey,1/2 oz, Dry Vermouth,1 oz, Pineapple Juice,1 oz, Ginger beer, Green Chartreuse,,, Fresh mint sprig,"Pour first four ingredients in crushed ice-filled highball glass. With barspoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. Top with Chartreuse, and garnish with mint.",Highball Glass,7
Canadian Pineapple,Cocktail Classics,1 1/2 oz, Canadian whisky,1 oz, Pineapple Juice,1 oz, Lemon Juice,1/2 oz, Maraschino,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with a pineapple slice.,Old-Fashioned Glass,6
Calm Voyage,Cocktail Classics,1/2 oz, Strega,1/2 oz, Light Rum,1 oz, Passion Fruit Syrup,2 oz, Lemon Juice,1/2 oz, Egg White,,,Put all ingredients in blender with half a cup of crushed ice. Blend at low speed and pour into champagne flute.,Champagne Flute,6
Pink Lemonade,Vodka,1 1/2 oz, Citrus-flavored vodka,1/4 oz, Triple Sec,1/4 oz, Fresh Lime Juice,1/4 oz, Fresh lemon juice,1/4 oz, Simple Syrup,2 oz," Cranberry Juice, lemon wheel",Shake with ice and strain into ice-filled Collins glass. Garnish with a lemon slice.,Collins Glass,14
Caledonia,Cocktail Classics,1 oz, Creme de Cacao (Brown),1 oz, Brandy,1 oz, Milk,1 oz, Egg Yolk,,,,,Shake well with ice and Strain into old-fashioned glass over ice cubes. Top with cinnamon.,Old-Fashioned Glass,6
Caf_ di Amaretto ,Cocktail Classics,1 oz, Hot Black Coffee,1 oz, Amaretto,, Whipped cream,,,,,,,Add 1 oz. Amaretto to a cup of black coffee. Top with whipped cream.,Beer Mug,10
Cafe De Paris Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Anis,1 oz, Light cream,1 1/2 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Aztec's Mark,Whiskies,1 1/2 oz, Bourbon whiskey,1/2 oz, White creme de cacao,1/4 oz, Benedictine,2 oz, Hot red pepper sauce, Orange twist,,,,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Fontainebleau Special,Brandy,1 oz, Brandy,1 oz, Anisette,1/2 oz, Dry Vermouth,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Suntan,Cocktail Classics,2 oz, Hot Shot Tropical Fruit Liqueur,2 oz, Orange Juice,,,,,,,,,Pour over ice in a highball glass. Fill with club soda.,Highball Glass,7
Sunburn,Cocktail Classics,2 oz, Hot Shot Tropical Fruit Liqueur,2 oz, Grapefruit Juice,,,,,,,,,Pour over ice in a highball glass. Fill with club soda. Add a dash of grenadine for color.,Highball Glass,7
Suissesse Cocktail,Cocktail Classics,2 oz, Anisette,1 oz, Egg White,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Strawberry Sunries,Cocktail Classics,2 oz, Strawberry schnapps,1/2 oz, Grenadine,,,,,,,,,Pour over ice in a highball glass. Fill with orange juice. Garnish with a strawberry slice.,Highball Glass,7
Autumn Leaves,Whiskies,3/4 oz, Straight rye whiskey,3/4 oz, Apple Brandy,3/4 oz, Sweet Vermouth,1/4 oz, Strega,2 oz, Angostura Bitters,, Orange twist,Stir with ice and strain into ice-filled old-fashioned glass. Garnish with an orange twist.,Old-Fashioned Glass,6
Pickled Pink,Vodka,2 oz, Vodka,1 oz, Aquavit,1/2 oz, Dill pickle brine,2 oz, Angostura Bitters, Dill sprig,,,,Shake with ice and strain into cocktail glass. Garnish with dill.,Cocktail Glass,6
Aquarius,Whiskies,1 1/2 oz, Blended Scotch Whiskey,1/2 oz, cherry-flavored brandy,1 oz, Cranberry Juice,,,,,,,Shake with ice and strain into old-fashioned glass over ice.,Old-Fashioned Glass,6
Soul Kiss Cocktail,Cocktail Classics,1 1/2 oz, Orange Juice,1 1/2 oz, Dubonnet,3/4 oz, Dry Vermouth,3/4 oz, Bourbon,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Pickled Martini,Vodka,2 oz, Vodka,1/4 oz, Dry Vermouth,3/4 oz, Sweet pickle brine,1, Sweet pickle slice,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a pickle.,Cocktail Glass,6
Sloe Gin Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 oz, Sloe gin,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5
Angel's Share,Whiskies,1 1/2 oz, Bourbon whiskey,1/2 oz, Amaro,1/4 oz, Creme de Cassis,1 oz, Orange Bitters, Lemon twist,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Silver Stallion Fizz,Cocktail Classics,1 oz, Vanilla Ice Cream,2 oz, Gin,, Carbonated Water,,,,,,,Shake gin and ice cream with ice and strain into highball glass. Fill with carbonated water and stir.,Highball Glass,7
Silver King Cocktail,Cocktail Classics,1 oz, Egg White,1/4 oz, Juice of a Lemon,1 1/2 oz, Gin,1/2 oz, Powdered Sugar,2 oz, Orange Bitters,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
American Trilogy,Whiskies,1 oz," Brown sugar cube, such as Demerara",1 oz, Straight rye whiskey,1 oz, Applejack,, Orange twist,,,,,"Muddle sugar cube in mixer glass. Add whiskey, applejack, and ice. Stir and strain into chilled old-fashioned glass. Garnish with an orange twist.",Old-Fashioned Glass,6
Silver Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Gin,1 oz, Egg White, Carbonated Water,,,,Shake with ice and strain into highball glass over two ice cubes.,Highball Glass,7
Sherry Twist Cocktail,Cocktail Classics,1 oz, Cream sherry,1/2 oz, Brandy,1/2 oz, Dry Vermouth,1/2 oz, Triple Sec,1/2 oz, Lemon Juice,,,Shake with ice and strain into cocktail glass. Top with cinnamon and garnish with an orange twist.,Cocktail Glass,6
Sherry Sangaree,Cocktail Classics,1/2 oz, Powdered Sugar,1 oz, Water,2 oz, Cream sherry,, Carbonated Water,1 oz, Port,,,"In an old-fashioned glass, dissolve powdered sugar in water, add sherry, and stir. Add ice cubes and a splash of carbonated water, leaving enough room on which to float port. Add port. Sprinkle lightly with nutmeg.",Old-Fashioned Glass,6
Sherry Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Cream sherry,16 Milk,,,,,,,,"Shake with ice, strain into collins glass, and top with nutmeg.",Collins Glass,14
Petit Zinc,Vodka,1 oz, Vodka,1/2 oz, Triple Sec,1/2 oz, Sweet Vermouth,1/2 oz, Orange juice, Orange wedge,,,,Shake with ice and strain into chilled cocktail glass. Garnish with an orange slice.,Cocktail Glass,6
Sherry Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 1/2 oz, Cream sherry,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5
