name,glass-size (oz),category,measurement-1,unit-1,ingredient-1,measurement-2,unit-2,ingredient-2,measurement-3,unit-3,ingredient-3,measurement-4,unit-4,ingredient-4,measurement-5,unit-5,ingredient-5,measurement-6,unit-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz),Cocktail Measurment,Match
Dry Martini,6,Cocktail Classics,1.5,oz, Mr. Boston Gin,0.33,oz, Dry Vermouth,,,,,,,,,,,,,Olive,Stir or shake with ice and strain into cocktail glass.  Garnish with an olive. ,Cocktail Glass,6,1.83,FALSE
Salty Dog,7,Vodka,,,,1.5,oz, Vodka,5,oz, Grapefruit Juice,,,,,,,,,,Salt,Rim highball glass with lemon and salt. Fill with ice. Add vodka and grapefruit juice and stir.,Highball Glass,7,6.5,FALSE
Dr. Cook,12,Cocktail Classics,1.5,oz, Mr. Boston Gin,1,oz, Lemon Juice,1,oz, Maraschino,1,oz, Egg White,,,,,,,,Shake with ice and strain into wine glass.,Red-Wine Glass,12,4.5,FALSE
Dillatini Cocktail,6,Cocktail Classics,1.5,oz, Mr. Boston Gin,0.75,oz, Dry Vermouth,,,,,,,,,,,,,Dilly Bean,Serve with a dilly bean.,Cocktail Glass,6,2.25,FALSE
Chi-Town Flip,14,Whiskies,2,oz, Bourbon whiskey,0.75,oz, Tawny port,0.75,oz, Fresh lemon juice,0.75,oz, Vanilla liqueur and 3 oz,1,oz, Simple Syrup,1,oz, Whole Egg and grated nutmet,Nutmeg,Shake first six ingredients without ice. Add ice and shake again. Strain into ice-filled Collins glass. Add bitters and top with nutmeg.,Collins Glass,14,6.25,FALSE
Chef's Pain,6,Vodka,2,oz, Bourbon whiskey,0.75,oz, Fresh Lime Juice,0.5,oz, Blackberry liqueur,0.5,oz, B & B,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3.75,FALSE
Sampan Shipwreck A,6,Vodka,2,oz, Vodka,0.5,oz, Orange liqueur,0.5,oz, Canned coconut milk,0.5,oz, Cold brewed chai tea,1,oz, orgeat or almond syrup,,,,Pineapple Slice,Shake well with ice. Double-strain into chilled cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6,4.5,FALSE
Chas,6,Whiskies,2,oz, Bourbon whiskey,0.25,oz, Amaretto,0.25,oz, Benedictine,0.25,oz, Triple Sec,1,oz, Orange curacao,,,,Orange Twist,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6,3.75,FALSE
Goat's Delight,6,Brandy,0.5,oz, Brandy,1.5,oz, Kirschwasser,0.25,oz, half-and-half,1,oz, orgeat or almond syrup,1,oz, Absinthe or pastis,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,4.25,FALSE
Russian Bear Cocktail,6,Vodka,2,oz, Vodka,0.5,oz, White creme de cacao,0.5,oz, half-and-half,,,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3,FALSE
Character Development,6,Whiskies,1.5,oz, Scotch Whiskey,0.5,oz, Coconut liqueur,0.5,oz, Dry Sherry,2,oz, Grapefruit bitters,,,,,,,Grapefruit Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6,4.5,FALSE
Ruby Red,6,Vodka,2,oz, Grapefruit-flavored vodka,1.5,oz, Triple Sec,1.5,oz, Fresh ruby red grapefruit juice,1,oz, Fresh orange juice,,,,,,,Grapefruit Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6,6,TRUE
Chaplin,6,Whiskies,2,oz, Bourbon whiskey,0.75,oz, Dry Sherry,0.75,oz, Ramazzotti Amaro,1,oz, Triple Sec,1,oz, Orange Bitters,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6,5.5,FALSE
Rouxby Red,6,Vodka,,,,1.5,oz, Grapefruit-flavored vodka,0.25,oz, Fresh lemon juice,0.75,oz, Grapefruit Juice,1,oz, Campari,0.25,oz, Simple Syrup,,Rim chilled cocktail glass with lemon and salt. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6,3.75,FALSE
Rosemary Clementine Sparkle,6,Vodka,0.25,oz, Clementine or mandarin orange,1.5,oz, Vodka,0.75,oz, Fresh lemon juice,0.75,oz, Honey Syrup,1,oz, Fresh rosemary sprig,1,oz, Chilled sparkling wine or Champagne,Rosemary,"Squeeze clementine into mixing glass. Twist rind and add to glass. Add vodka, lemon juice, syrup, and rosemary sprig. Add ice and shake. Strain into chilled cocktail glass. Top with sparkling wine or Champagne. Garnish with rosemary sprig.",Cocktail Glass,6,5.25,FALSE
Chapel Hill,6,Whiskies,2,oz, Bourbon whiskey,0.5,oz, Triple Sec,0.5,oz, Fresh lemon juice,,,,,,,,,,Orange Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a orange twist.,Cocktail Glass,6,3,FALSE
Robin's Nest,6,Vodka,2,oz, Vodka,1,oz, Cranberry Juice,0.5,oz, White creme de cacao,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3.5,FALSE
Chancellor Cocktail,6,Whiskies,1.5,oz, Blended Scotch Whiskey,0.5,oz, Dry Vermouth,0.5,oz, Tawny port,1,oz, Peychaud's Bitters,,,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6,3.5,FALSE
Cafe di Saronno,10,Cocktail Classics,1,oz, Amaretto di Saronno,3,oz, Hot Black Coffee,,,,,,,,,,,,,Whipped Cream,Add 1 oz. Amaretto di Saronno to a cup of black coffee. Top with whipped cream.,Beer Mug,10,4,FALSE
Carre Reprise,6,Whiskies,2,oz, Straight rye whiskey,1,oz, Cognac,1,oz, Sweet Vermouth,0.5,oz, Elderflower liqueur,1,oz, Angostura Bitters,1,oz, Peychaud's Bitters,Lemon Twist,Stir with ice. Strain into ice-filled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6,6.5,FALSE
Gilroy Cocktail,6,Brandy,1.5,oz, cherry-flavored brandy,0.75,oz, Gin,0.5,oz, Dry Vermouth,0.5,oz, Fresh lemon juice,1,oz, Orange Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,4.25,FALSE
Redhead Martini,6,Vodka,1,oz," Strawberries, cut into halves",0.75,oz, Fresh lemon juice,0.75,oz, Simple Syrup,1.5,oz, Citrus-flavored vodka,1,oz, Chilled Moscato d'Asti or sweet sparkling wine,,,,Strawberry,Muddle halved strawberries in mixing glass with lemon juice and syrup. Add vodka and ice and shake well. Strain into chilled cocktail glass. Add sparkling wine. Garnish with a strawberry.,Cocktail Glass,6,5,FALSE
Red Apple,6,Vodka,2,oz, Vodka,1,oz, Apple juice,0.5,oz, Fresh lemon juice,1,oz, Grenadine,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,4.5,FALSE
Canal Street Daisy,14,Whiskies,1.5,oz, Blended Scotch Whiskey,1,oz, Orange juice,0.75,oz, Fresh lemon juice,1,oz, Soda water,,,,,,,Orange Slice,Add Scotch and juices to ice-filled Collins glass and stir. Fill with soda water and stir again. Garnish with an orange slice.,Collins Glass,14,4.25,FALSE
Canadian Cocktail,6,Whiskies,1.5,oz, Canadian whisky,0.5,oz, Triple Sec,0.5,oz, Simple Syrup,1,oz, Angostura Bitters,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3.5,FALSE
Purple Ruby,6,Vodka,2,oz, Vodka,1.5,oz, Pomegranate juice,0.5,oz, Grapefruit Juice,0.25,oz, Fresh Lime Juice,1,oz, Honey Syrup,,,,Grapefruit Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6,5.25,FALSE
Canadian Cherry,6,Whiskies,1,oz, Maraschino liqueur,1.5,oz, Canadian whisky,0.5,oz, Maraschino liqueur,0.5,oz, Fresh lemon juice,1,oz, Orange juice,,,,,Moisten rim of old-fashioned glass with maraschino liqueur. Fill with ice. Shake ingredients with ice and strain into glass.,Old-Fashioned Glass,6,4.5,FALSE
Orange Smile,12,Cocktail Classics,1,oz, Egg,1,oz, Juice of Orange,1,oz, Grenadine,,,,,,,,,,,Shake with ice and strain into stem goblet.,Red-Wine Glass,12,3,FALSE
Purple Passion Iced Tea,7,Vodka,2,oz, Vodka,0.5,oz, Light Rum,0.5,oz, Gin,0.5,oz, Black raspberry liqueur,1,oz, Simple Syrup,0.75,oz, Fresh lemon juice and 3 oz,Lemon Twist,Pour ingredients into ice-filled highball glass in order listed and stir. Garnish with a lemon twist.,Highball Glass,7,5.25,FALSE
Canadian Breeze,6,Whiskies,1.5,oz, Canadian whisky,0.75,oz, Pineapple Juice,0.5,oz, Fresh lemon juice,0.25,oz, Maraschino liqueur,,,,,,,"Pineapple Slice, Cherry",Shake with ice. Strain into ice-filled old-fashioned glass. Garnish with a pineapple slice and a cherry.,Old-Fashioned Glass,6,3,FALSE
Purple Passion,14,Vodka,2,oz, Vodka,2,oz, Grapefruit Juice,2,oz, Concord grape juice,0.5,oz, Simple Syrup,,,,,,,,Shake with ice. Pour with ice into Collins glass.,Collins Glass,14,6.5,FALSE
Cameron's Kick Cocktail,6,Whiskies,1.5,oz, Blended Scotch Whiskey,0.75,oz, Irish Whiskey,0.5,oz, Fresh lemon juice,2,oz, Orange Bitters,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,4.75,FALSE
Georgia Mint Julep,14,Brandy,2,oz, Mint sprigs,0.25,oz, Simple Syrup,1.5,oz, Brandy,1,oz, Peach-flavored brandy,,,,,,,Mint,Muddle mint and syrup in Collins glass. Fill with ice. Add brandy and peach-flavored brandy. Stir and garnish with mint.,Collins Glass,14,4.75,FALSE
California Lemonade,14,Whiskies,2,oz, Bourbon whiskey,1,oz, Fresh lemon juice,1,oz, Fresh Lime Juice,1,oz, Simple Syrup,1,oz, Grenadine,1,oz, Soda water,"Orange Slice, Lemon Slice, Cherry","Shake first five ingredients with ice. Strain into shaved ice-filled Collins glass. Fill with soda water and garnish with an orange slice, a lemon slice, and a cherry. Serve with straws.",Collins Glass,14,7,FALSE
Boston Side Car ,6,Cocktail Classics,0.75,oz, Mr. Boston Five Star Brandy,0.75,oz, Mr. Boston Rum,0.75,oz, Mr. Boston Triple Sec,0.5,oz, Juice of a Lime,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.75,FALSE
Cablegram,7,Whiskies,2,oz, Bourbon whiskey,1,oz, Fresh lemon juice,0.5,oz, Simple Syrup,1,oz, Ginger ale,,,,,,,,Stir first three ingredients in ice-filled highball glass. Fill with ginger ale.,Highball Glass,7,4.5,FALSE
Bull And Bear,6,Whiskies,2,oz, Bourbon whiskey,0.75,oz, Orange curacao,1,oz, Fresh lemon juice,0.25,oz, Grenadine,,,,,,,"Cherry, Orange Slice",Shake with ice and strain into chilled cocktail glass. Garnish with a cherry and an orange slice.,Cocktail Glass,6,4,FALSE
Brooklyn,6,Whiskies,1.5,oz, Rye or bourbon whiskey,0.5,oz, Sweet Vermouth,1,oz, Amer Picon or Torani Amer,1,oz, Maraschino liqueur,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6,4,FALSE
Brighton Punch,14,Whiskies,2,oz, Bourbon whiskey,0.75,oz, Brandy,0.75,oz, Benedictine,2,oz, Orange juice,1,oz, Fresh lemon juice,1,oz, Soda water,"Orange Slice, Lemon Slice",Shake first five ingredients with ice and pour with ice into Collins glass. Fill with soda water and stir gently. Garnish with an orange slice and a lemon slice and serve with a straw.,Collins Glass,14,7.5,FALSE
Bourbon Renewal,6,Whiskies,2,oz, Bourbon whiskey,1,oz, Fresh lemon juice,0.5,oz, Creme de Cassis,0.5,oz, Simple Syrup,1,oz, Angostura Bitters,,,,,Shake with ice. Strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6,5,FALSE
Bourbon Highball,7,Whiskies,2,oz, Bourbon whiskey,3,oz, Ginger ale or soda water,,,,,,,,,,,,,Lemon Twist,Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water and stir. Garnish with a lemon twist.,Highball Glass,7,5,FALSE
Bourbon And Elder,6,Whiskies,2,oz, Bourbon whiskey,0.75,oz, Elderflower liqueur,1,oz, Angostura Bitters,,, ,,,,,,,Lemon Twist,Stir with ice and strain into chilled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6,3.75,FALSE
Bourbon Crusta,6,Whiskies,,,,2,oz, Bourbon whiskey,0.5,oz, Triple Sec,1,oz, Maraschino liqueur,1,oz, Fresh lemon juice,2,oz, Orange Bitters,Sugar,Rim chilled cocktail glass with lemon and sugar. Curl the zest spiral in glass. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6,6.5,FALSE
Bourbon Cooler,6,Whiskies,2,oz, Bourbon whiskey,0.5,oz, Fresh lemon juice,0.5,oz, Grapefruit Juice,0.5,oz, Orgeat Syrup,,,,,,,Peach Slice,Shake with ice in mixing glass. Pour with ice into old-fashioned glass. Garnish with a peach slice.,Old-Fashioned Glass,6,3.5,FALSE
Froupe Cocktail,6,Brandy,0.5,oz, Brandy,1.5,oz, Sweet Vermouth,1,oz, Benedictine,,,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3,FALSE
Bourbon A La Creme,6,Whiskies,2,oz, Bourbon whiskey,1,oz, Dark creme de cacao,0.5,oz, Vanilla liqueur,,,,,,,,,,,Stir ingredients with ice. Strain into chilled old-fashioned glass.,Old-Fashioned Glass,6,3.5,FALSE
The Bone,1,Whiskies,2,oz, Bourbon whiskey,0.5,oz, Fresh Lime Juice,0.5,oz, Simple Syrup,3,oz, Hot red pepper sauce,,,,,,,,Shake with ice and strain into chilled shot glass.,Shot Glass,1,6,FALSE
Bobby Burns Cocktail,6,Whiskies,1.5,oz, Blended Scotch Whiskey,1.5,oz, Sweet Vermouth,1,oz, Benedictine,,,,,,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6,4,FALSE
Bloody Scotsman,6,Whiskies,1,oz," Smoky Scotch whisky, such as Laphroaig",24,oz, Tomato Juice,24,oz, V8 cocktail juice,1,tsp, ketchup,1,oz, Fresh Lime Juice,3,oz," Simple Syrup, 3/4 oz",,"Mix ingredients together, stirring often, in a large container, adding salt to taste. Chill for at least 24 hours before serving. Serve in ice-filled old-fashioned glasses.",Old-Fashioned Glass,6,54,FALSE
White Cargo Cocktail,6,Cocktail Classics,1,oz, Vanilla Ice Cream,1,oz, Mr. Boston Gin,,,,,,,,,,,,,,Shake until thoroughly mixed and add water or sauterne if the mixture if too thick. Serve in an old-fashioned glass.,Old-Fashioned Glass,6,2,FALSE
Blood and Sand,6,Whiskies,1.5,oz, Blended Scotch Whiskey,0.5,oz, cherry-flavored brandy,0.5,oz, Sweet Vermouth,0.5,oz, Orange juice,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3,FALSE
The Blinker,6,Whiskies,2,oz, Straight rye whisky,1.5,oz, Grapefruit Juice,1,oz, Raspberry Syrup,,,,,,,,,,"Grapefruit Twist, Raspberry",Shake and strain into cocktail glass. Garnish with a grapefruit twist or a raspberry.,Cocktail Glass,6,4.5,FALSE
Pike's Peak Cooler,14,Cocktail Classics,1,oz,Cider,0.5,oz, Juice of a Lemon,1,oz, Powdered Sugar,1,oz, Whole Egg,,,,,,,"Orange Twist, Lemon Twist",Shake with ice and strain into collins glass with cracked ice. Fill with cider and stir. Garnish with an orange twist or lemon twist.,Collins Glass,14,3.5,FALSE
Blarney Stone Cocktail,6,Whiskies,2,oz, Irish Whiskey,0.5,oz, Anisette,0.5,oz, Triple Sec,0.5,oz, Maraschino liqueur,1,oz, Angostura Bitters,,,,"Orange Twist, Olive",Shake with ice and strain into chilled cocktail glass. Garnish with an orange twist and olive.,Cocktail Glass,6,4.5,FALSE
Pacman,14,Cocktail Classics,1,oz, Lemon Juice,1,oz, Grenadine,1,oz, Bitters,1,oz, Ginger ale,,,,,,,Orange Slice,"Add grenadine, lemon juice, and bitters to collins filled with ice. Top with ginger ale. Garnish with an orange slice and slide down side of glass.",Collins Glass,14,4,FALSE
Lemonade (Golden),14,Cocktail Classics,0.25,oz, Juice of a Lemon,2,oz, Powdered Sugar,1,oz, Egg Yolk,6,oz, Water,,,,,,,"Orange Slice, Lemon Slice, Cherry","Shake with ice and strain into collins glass. Garnish with an orange slice, a lemon slice, and a cherry.",Collins Glass,14,9.25,FALSE
Black Hawk,6,Whiskies,2,oz, Bourbon whiskey,1.5,oz, Sloe gin,1,oz, Maraschino cherry,,,,,,,,,,Cherry,Stir with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6,4.5,FALSE
Lemonade (Egg),14,Cocktail Classics,0.25,oz, Juice of a Lemon,2,oz, Powdered Sugar,1,oz, Whole Egg,,,,,,,,,,,Shake and strain into collins glass over ice cubes. Add enough water to fill glass. Serve with straws.,Collins Glass,14,3.25,FALSE
Bensonhurst,6,Whiskies,1,oz, Cynar,2,oz, Straight rye whiskey,1,oz, Dry Vermouth,0.25,oz, Maraschino liqueur,,,,,,,,Swirl Cynar in chilled cocktail glass to coat inside; discard excess Cynar. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6,4.25,FALSE
Chocolate Daisy,10,Cocktail Classics,0.25,oz, Juice of a Lemon,0.5,oz, Powdered Sugar,1,oz, Grenadine,1.5,oz, Brandy,1,oz, Port,,,,Seasonal Fruit,Shake with ice and strain into stein or metal cup. Add ice cubes and decorate with seasonal fruit,Beer Mug,10,4.25,FALSE
The Beautiful Day,6,Whiskies,2,oz, Irish Whiskey,0.75,oz, Rhubarb Syrup,2,oz, Cold brewed green tea,1,oz, Edible flowers,,,,,,,Edible Flowers,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with edible flowers.,Old-Fashioned Glass,6,5.75,FALSE
French Quarter,6,Brandy,0.5,oz, Brandy,0.75,oz, Lillet Blanc,,,,,,,,,,,,,Lemon Slice,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon slice.,Cocktail Glass,6,1.25,FALSE
Creme de Gin Cocktail,6,Cocktail Classics,1,oz, Gin,0.5,oz, White creme de menthe,1,oz, Egg White,2,oz, Lemon Juice,1,oz, Orange Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,5.5,FALSE
Creamy Screwdriver,14,Cocktail Classics,2,oz, Vodka,1,oz, Egg Yolk,6,oz, Orange Juice,1,oz, Sugar,,,,,,,,Combine all ingredients with a half-cup of crushed ice in an electric blender. Blend at low speed and pour into collins glass.,Collins Glass,14,10,FALSE
Creamy Orange,6,Cocktail Classics,1,oz, Orange Juice,1,oz, Cream sherry,0.75,oz, Brandy,1,oz, Light cream,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,3.75,FALSE
Creamsicle,14,Cocktail Classics,1.5,oz, Vanilla liqueur,1.5,oz, Milk,3,oz, Orange Juice,,,,,,,,,,,"Fill a tall glass with ice, add the above ingredients, and stir.",Collins Glass,14,6,FALSE
Cowboy Cocktail,6,Cocktail Classics,1.5,oz, Blended whiskey,1,oz, Light cream,,,,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
Beals Cocktail,6,Whiskies,1.5,oz, Blended Scotch Whiskey,0.5,oz, Dry Vermouth,0.5,oz, Sweet Vermouth,,,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6,2.5,FALSE
Coronation Cocktail,6,Cocktail Classics,1,oz, Gin,0.75,oz, Dubonnet,0.75,oz, Dry Vermouth,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
Cornell Cocktail,6,Cocktail Classics,1,oz, Lemon Juice,1,oz, Maraschino,1,oz, Egg White,1.5,oz, Gin,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,4.5,FALSE
Combo,6,Cocktail Classics,0.75,oz, Dry Vermouth,1,oz, Brandy,0.5,oz, Triple Sec,0.5,oz, Powdered Sugar,1,count, Bitters,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6,3.75,FALSE
Basin Street,6,Whiskies,2,oz, Bourbon whiskey,0.75,oz, Triple Sec,0.75,oz, Fresh lemon juice,,,,,,,,,,,Shake well with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3.5,FALSE
Cole's Raspberry Cream,6,Cocktail Classics,1.5,oz, Raspberry Yogurt,1.5,oz, Raspberry Ice Cream,1.5,oz, White creme de cacao,1.5,oz, Vodka,1,oz, Heavy cream,,,,,Shake or blend.,Champagne Flute,6,7,FALSE
Cognac Coupling,6,Cocktail Classics,1,oz, Cognac,1,oz, Tawny port,0.5,oz, Anis,1,oz, Lemon Juice,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6,3.5,FALSE
Coffee Sour,5,Cocktail Classics,1,oz, Coffee-flavored brandy,1,oz, Lemon Juice,1,oz, Powdered Sugar,0.5,oz, Egg White,,,,,,,,Shake with ice and strain into sour glass.,Sour Glass,5,3.5,FALSE
Coffee Flip,5,Cocktail Classics,1,oz, Whole Egg,1,oz, Powdered Sugar,1,oz, Brandy,1,oz, Port,1,oz, Light Cream (if desired),,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5,5,TRUE
Coffee Cocktail,5,Cocktail Classics,1,oz, Whole Egg,1,oz, Powdered Sugar,1,oz, Port,1,oz, Brandy,,,,,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5,4,FALSE
Purple Mask,6,Vodka,2,oz, Vodka,1,oz, Concord grape juice,0.5,oz, White creme de cacao,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3.5,FALSE
Clove Cocktail,6,Cocktail Classics,0.75,oz, Sweet Vermouth,0.5,oz, Sloe gin,0.5,oz, Muscatel Wine,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,1.75,FALSE
Clover Leaf Cocktail,6,Cocktail Classics,1,oz, Juice of a Lime,2,oz, Grenadine,1,oz, Egg White,1.5,oz, Gin,,,,,,,Mint,Shake with ice and strain into cocktail glass. Garnish with mint.,Cocktail Glass,6,5.5,FALSE
Clover Club Cocktail,6,Cocktail Classics,0.25,oz, Juice of a Lemon,2,oz, Grenadine,1,oz, Egg White,1.5,oz, Gin,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,4.75,FALSE
Priority Cocktail,6,Vodka,2,oz, Vodka,0.5,oz, Calvados,0.5,oz, Coffee liqueur,,,,,,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6,3,FALSE
Clamato Cocktail,6,Cocktail Classics,2,oz, Vodka,1,oz, Clam Juice,3,oz, Tomato Juice,,,,,,,,,,,"Shake with ice, strain, and serve over ice cubes in old-fashioned glass.",Old-Fashioned Glass,6,6,TRUE
Cider Eggnog,14,Cocktail Classics,1,oz, Whole Egg,1,oz, Powdered Sugar,0.5,oz, Milk,,,,,,,,,,Nutmeg,Shake with ice and strain into collins glass. Then fill the glass with cider and stir. Top with nutmeg.,Collins Glass,14,2.5,FALSE
Chocolate Soldier,6,Cocktail Classics,1,oz, Juice of a Lime,0.75,oz, Dubonnet,1.5,oz, Gin,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,3.25,FALSE
Chocolate Flip,5,Cocktail Classics,1,oz, Whole Egg,1,oz, Powdered Sugar,0.75,oz, Sloe gin,0.75,oz, Brandy,1,oz, Light Cream (if desired),,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg .,Sour Glass,5,4.5,FALSE
Chocolate Cocktail,5,Cocktail Classics,1,oz, Port,1.5,oz, Yellow Chartreuse,1,oz, Egg Yolk,1,oz, Powdered Sugar,,,,,,,,Shake with ice and strain into sour glass.,Sour Glass,5,4.5,FALSE
Chicago Fizz,7,Cocktail Classics,0.25,oz, Juice of a Lemon,1,oz, Powdered Sugar,1,oz, Egg White,1,oz, Port,1,oz, Light Rum,,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7,4.25,FALSE
Pretty In Pink,14,Vodka,2,oz, Vodka,0.5,oz, Cranberry Juice,0.75,oz, Creme de noyaux,0.75,oz, Fresh lemon juice,1,oz,,,,,,Shake first four ingredients and strain into ice-filled Collins glass. Top with soda water.,Collins Glass,14,5,FALSE
Cherry Wine Cocktail,6,Cocktail Classics,0.75,oz, Danish Cherry Wine,0.75,oz, Vodka,0.5,oz, Juice of a Lime,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2,FALSE
Cherry Flip,5,Cocktail Classics,1,oz, Whole Egg,1,oz, Powdered Sugar,1.5,oz, cherry-flavored brandy,2,oz, Light Cream (if desired),,,,,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5,5.5,FALSE
Cherry Cooler,14,Cocktail Classics,2,oz, Cherry Vodka,3,oz, Cola,,,,,,,,,,,,,Lemon Slice,"Pour cherry vodka into collins glass over ice cubes. Fill with cola, garnish with a lemon slice, and stir.",Collins Glass,14,5,FALSE
Polynesian Cocktail,6,Vodka,,,,1.5,oz, Vodka,0.75,oz, cherry-flavored brandy,0.75,oz, Fresh Lime Juice,,,,,,,,Rim chilled cocktail glass with lime and sugar. Shake ingredients with ice and strain into glass.,Cocktail Glass,6,3,FALSE
Chateau Briand's Rum Cow,14,Cocktail Classics,1.5,oz, Dark rum,1,oz, Sugar,2,oz, Bitters,0.75,oz, Milk,,,,,,,,Blend and strain into a collins glass.,Collins Glass,14,5.25,FALSE
Champagne Velvet,6,Cocktail Classics,1,oz, Chilled Stout,5,oz, Chilled Champagne,,,,,,,,,,,,,,"Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. ",Champagne Flute,6,6,TRUE
Pink Pussycat,7,Vodka,2,oz, Vodka,2,oz, Pineapple or grapefruit juice,0.5,oz, Grenadine,,,,,,,,,,,Pour ingredients into ice-filled highball glass and stir.,Highball Glass,7,4.5,FALSE
Back Porch Swizzle,7,Whiskies,2,oz, Bourbon whiskey,0.5,oz, Dry Vermouth,1,oz, Pineapple Juice,1,oz, Ginger beer,,,,,,,Mint,"Pour first four ingredients in crushed ice-filled highball glass. With barspoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. Top with Chartreuse, and garnish with mint.",Highball Glass,7,4.5,FALSE
Canadian Pineapple,6,Cocktail Classics,1.5,oz, Canadian whisky,1,oz, Pineapple Juice,1,oz, Lemon Juice,0.5,oz, Maraschino,,,,,,,Pineapple Slice,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with a pineapple slice.,Old-Fashioned Glass,6,4,FALSE
Calm Voyage,6,Cocktail Classics,0.5,oz, Strega,0.5,oz, Light Rum,1,oz, Passion Fruit Syrup,2,oz, Lemon Juice,1,oz, Egg White,,,,,Put all ingredients in blender with half a cup of crushed ice. Blend at low speed and pour into champagne flute.,Champagne Flute,6,5,FALSE
Pink Lemonade,14,Vodka,2,oz, Citrus-flavored vodka,0.25,oz, Triple Sec,0.25,oz, Fresh Lime Juice,0.25,oz, Fresh lemon juice,1,oz, Simple Syrup,2,oz," Cranberry Juice, lemon wheel",Lemon Slice,Shake with ice and strain into ice-filled Collins glass. Garnish with a lemon slice.,Collins Glass,14,5.75,FALSE
