name,glass-size (oz),category,measurement-1,unit-1,ingredient-1,measurement-2,unit-2,ingredient-2,measurement-3,unit-3,ingredient-3,measurement-4,unit-4,ingredient-4,measurement-5,unit-5,ingredient-5,measurement-6,unit-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz),Cocktail Measurment,Match
Irish Whiskey Cocktail,6,Whiskies,2,oz, Irish Whiskey,0.5,oz, Triple Sec,0.5,oz, Anisette,0.25,oz, Maraschino liqueur,1,oz, Angostura Bitters,,,,Olive,Stir with ice and strain into chilled cocktail glass. Garnish with an olive.,Cocktail Glass,6,4.25,FALSE
Absinthe Special Cocktail,6,Cordials and Liqueurs,1.5,oz, Absinthe,0.25,oz, Simple Syrup,1,oz, Orange Bitters,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,2.75,FALSE
Nineteenth Hole,6,Cocktail Classics,1,oz, Gin,1,oz, Dry Vermouth,1,oz, Sweet Vermouth,1,oz, Bitters,,,,,,,Olive,Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6,4,FALSE
Montreal Club Bouncer,6,Cocktail Classics,1,oz, Gin,0.5,oz, Anisette,,,,,,,,,,,,,,Pour into old-fashioned glass over ice cubes. Stir.,Old-Fashioned Glass,6,1.5,FALSE
Monte Carlo Imperial Highball,7,Cocktail Classics,1,oz, Gin,0.5,oz, White creme de menthe,0.25,oz, Juice of a Lemon,1,oz, Chilled Champagne,,,,,,,,Shake with ice and strain into highball glass over ice cubes. Fill glass with champagne and stir.,Highball Glass,7,2.75,FALSE
Irish Shillelagh,8,Whiskies,2,oz, Irish Whiskey,1,oz, Light Rum,0.5,oz, Sloe gin,1,oz, Fresh lemon juice,0.5,oz, Simple Syrup,,,,"Berries, Peach Slices, Cherry","Shake with ice and strain into ice-filled Irish coffee glass. Garnish with berries, peach slices, and a cherry.",Irish Coffee Glass,8,5,FALSE
Melon Cocktail,6,Cocktail Classics,1,oz, Gin,0.25,oz, Lemon Juice,0.25,oz, Maraschino,,,,,,,,,,Cherry,Shake with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6,1.5,FALSE
Martini (Medium),6,Cocktail Classics,1,oz, Gin,0.5,oz, Dry Vermouth,0.5,oz, Sweet Vermouth,,,,,,,,,,Olive,Stir or shake with ice and strain into cocktail glass. ,Cocktail Glass,6,2,FALSE
Martini (Dry) (5-to-1),6,Cocktail Classics,1,oz, Gin,0.33,oz, Dry Vermouth,,,,,,,,,,,,,Olive,Stir or shake with ice and strain into cocktail glass. ,Cocktail Glass,6,1.33,FALSE
Mamie's Sister,14,Cocktail Classics,1,oz, Juice of a Lime,2,oz, Gin,1,oz, Ginger ale,,,,,,,,,,,"Put the juice of one lime and a lime twist into collins glass, and add gin. Fill glass with ginger ale and ice. Stir.",Collins Glass,14,4,FALSE
Irish Rickey,7,Whiskies,2,oz, Irish Whiskey,0.5,oz, Fresh Lime Juice,1,oz, Soda water,,,,,,,,,,Lime Slice,Pour whiskey and lime juice into ice-filled highball glass. Fill with soda water and stir. Garnish with a lime slice.,Highball Glass,7,3.5,FALSE
Maiden's Prayer,6,Cocktail Classics,1,oz, Gin,0.5,oz, Triple Sec,1,oz, Lemon Juice,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
Lone Tree Cocktail,6,Cocktail Classics,0.75,oz, Sweet Vermouth,1.5,oz, Gin,,,,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,2.25,FALSE
London Buck,7,Cocktail Classics,1,oz, Gin,0.5,oz, Juice of a Lemon,2,oz, Ginger ale,,,,,,,,,,,Pour gin and lemon juice over ice cubes in highball glass. Fill with ginger ale and stir.,Highball Glass,7,3.5,FALSE
Leap Frog Highball,7,Cocktail Classics,0.25,oz, Juice of a Lemon,2,oz, Gin,2,oz, Ginger ale,,,,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7,4.25,FALSE
Incider Cocktail,6,Whiskies,1.5,oz, Rye or bourbon whiskey,4,oz, Apple cider,1,oz, Apple slice,,,,,,,,,,Apple Slice,Stir whiskey and apple cider in ice-filled old-fashioned glass. Garnish with an apple slice.,Old-Fashioned Glass,6,6.5,FALSE
Kup's Indispensable Cocktail,6,Cocktail Classics,0.5,oz, Light Vermouth,0.5,oz, Dry Vermouth,1.5,oz, Gin,1,oz, Bitters,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,3.5,FALSE
Knock-Out Cocktail,6,Cocktail Classics,0.5,oz, Anisette,0.75,oz, Gin,0.75,oz, Dry Vermouth,1,oz, Creme de Menthe (White),,,,,,,Cherry,Stir with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6,3,FALSE
K. G. B. Cocktail,6,Cocktail Classics,0.5,oz, Kummel,1.5,oz, Gin,0.25,oz, Apricot Flavored Brandy,0.25,oz, Lemon Juice,,,,,,,Lemon Twist,Shake with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6,2.5,FALSE
Imperial Fizz,7,Whiskies,1.5,oz, Bourbon or Rye Whiskey,0.5,oz, Light Rum,1,oz, Fresh lemon juice,0.5,oz, Simple Syrup,1,oz, Soda water,,,,,Shake first four ingredients with ice and strain into ice-filled highball glass. Fill with soda water and stir.,Highball Glass,7,4.5,FALSE
Jeyplak Cocktail,6,Cocktail Classics,1,oz, Gin,0.75,oz, Sweet Vermouth,0.25,oz, Anisette,,,,,,,,,,Cherry,Shake with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6,2,FALSE
H. P. W. Cocktail,6,Cocktail Classics,0.75,oz, Dry Vermouth,1.5,oz, Sweet Vermouth,1.5,oz, Gin,,,,,,,,,,Orange Twist,Stir with ice and strain into cocktail glass. Garnish with a orange twist.,Cocktail Glass,6,3.75,FALSE
I.A.P.,14,Whiskies,2,oz, Tennessee whiskey,0.25,oz, Fernet-Branca,3,oz, Cola,,,,,,,,,,,Build in ice-filled Collins glass.,Collins Glass,14,5.25,FALSE
Hotel Plaza Cocktail,6,Cocktail Classics,0.75,oz, Sweet Vermouth,0.75,oz, Dry Vermouth,0.75,oz, Gin,,,,,,,,,,Pineapple Slice,Stir with ice and strain into cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6,2.25,FALSE
Hoffman House Cocktail,6,Cocktail Classics,0.75,oz, Dry Vermouth,1.5,oz, Gin,,,,,,,,,,,,,Olive,Stir with ice and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6,2.25,FALSE
Hawaiin Cocktail,6,Cocktail Classics,1,oz, Gin,1,oz, Pineapple Juice,0.5,oz, Triple Sec,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
White Russian,6,Vodka,2,oz, Vodka,1,oz, Coffee liqueur,2,oz, Milk or half-and-half,,,,,,,,,,,Pour vodka and coffee liqueur into ice-filled old-fashioned glass. Fill with milk or half-and-half.,Old-Fashioned Glass,6,5,FALSE
Greyhound,7,Cocktail Classics,1,oz, Gin,5,oz, Grapefruit Juice,,,,,,,,,,,,,,Pour into highball glass over ice cubes. Stir well.,Highball Glass,7,6,FALSE
Green Devil,6,Cocktail Classics,1,oz, Gin,1.5,oz, Green creme de menthe,1,oz, Lime Juice,,,,,,,,,,Mint,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with mint.,Old-Fashioned Glass,6,3.5,FALSE
Greenback,6,Cocktail Classics,1,oz, Gin,1,oz, Green creme de menthe,1,oz, Lemon Juice,,,,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6,3,FALSE
Grapefruit Cocktail,6,Cocktail Classics,1,oz, Grapefruit Juice,1,oz, Gin,1,oz, Maraschino,,,,,,,,,,Cherry,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6,3,FALSE
