name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz)
Harvard Cocktail,Brandy,1.5 oz, Brandy,.75 oz, Sweet Vermouth,,.5 oz,1 oz, Grenadine,1 oz, Angostura Bitters,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Gin and Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Mr. Boston Gin,,1 oz,,,,,,,Nutmeg,"Shake with ice, strain into collins glass, and top with nutmeg.",Collins Glass,14
Surf Rider,Vodka,2 oz, Vodka,.5 oz, Sweet Vermouth,,2 oz,.5 oz,  lemon juice,.25 oz, Grenadine,,,"Orange Slice, Cherry",Shake with ice and strain into ice-filled highball glass. Garnish with an orange slice and a cherry.,Highball Glass,7
Dinah Cocktail,Whiskies,1.5 oz, Bourbon whiskey,.75 oz,  lemon juice,,.5 oz,,,,,,,Mint,Shake well with ice and strain into chilled cocktail glass. Garnish with mint.,Cocktail Glass,6
Tea Saronno,Cocktail Classics,6 oz,Hot Tea,1.5 oz, Amaretto di Saronno,,,,,,,,,Whipped Cream,"Pour hot tea into a stemmed glass, using a spoon in glass to prevent cracking. Add Amaretto di Saronno but do not stir. Top with chilled whipped cream.",poco_grande,12
The Summer Of Love,Vodka,2 oz, Orange-flavored vodka,2 oz, Rose water,,1 oz,.25 oz, Black raspberry liqueur,,,,,Lemon Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Devil's Soul,Whiskies,1.5 oz, Straight rye whiskey,.5 oz, Mezcal,,.5 oz,.25 oz, Aperol,.25 oz, Elderflower liqueur,,,Flamed Orange Twist,Stir with ice and strain into cocktail glass. Garnish with a flamed orange twist.,Cocktail Glass,6
Deshler,Whiskies,1.5 oz, Straight rye whiskey,.5 oz, Dubonnet Rouge,,.25 oz,2 oz, Angostura Bitters,,,,,Lemon Twist,Stir with ice and strain into chilled champagne flute. Garnish with a lemon twist.,champagne_flute,6
T.N.T. No. 1,Cocktail Classics,1.5 oz, Old Thompson Blended Whiskey,1.5 oz, Absinthe Substitute,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Stupid Cupid,Vodka,2 oz, Citrus-flavored vodka,.5 oz, Sloe gin,,1 oz,1 oz,  lemon juice,,,,,Cherry,Shake with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Derby,Whiskies,2 oz, Bourbon whiskey,.25 oz, Benedictine,,1 oz,,,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Stockholm 75,Vodka,,,.75 oz, Citrus-flavored vodka,,.75 oz,.75 oz,  lemon juice,3 oz, Chilled Champagne,,,,"Rim chilled cocktail glass with lemon and sugar. Shake vodka, syrup, and lemon juice with ice. Strain into glass. Fill with Champagne",Cocktail Glass,6
The Delmarva Cocktail,Whiskies,2 oz, Straight rye whiskey,.5 oz, Dry Vermouth,,.5 oz,.5 oz,  lemon juice,,,,,Mint,Shake with ice and strain into chilled cocktail glass. Garnish with mint.,Cocktail Glass,6
Sputnik,Vodka,1.25 oz, Vodka,1.25 oz, Peach schnapps,,3 oz,3 oz, half-and-half,,,,,Peach Slice,Shake with ice until frothy and pour into red-wine glass. Garnish with a peach slice.,poco_grande,12
Gotham,Brandy,1 oz, Absinthe or pastis,3 oz, Brandy,,3 oz,,,,,,,Lemon Twist,Pour absinthe into chilled old-fashioned glass and swirl to coat. Shake brandy and bitters with ice and strain into glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
De La Louisiane,Whiskies,.75 oz, Straight rye whiskey,.75 oz, Sweet Vermouth,,.75 oz,3 oz, Absinthe or pastis,3 oz, Peychaud's Bitters,,,Cherry,Stir with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
The Debonair,Whiskies,2.5 oz, Single-malt Scotch whisky,1 oz, Ginger liqueur,,,,,,,,,Lemon Twist,Stir and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Soviet,Vodka,1.5 oz, Vodka,.5 oz, Amontillado sherry,,.5 oz,,,,,,,Lemon Twist,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Sonic Blaster,Vodka,.5 oz, Vodka,.5 oz, Light Rum,,.5 oz,1 oz, Pineapple Juice,1 oz, Orange juice,1 oz, Cranberry Juice,"Orange Slice, Lime Slice",Shake and pour into ice-filled Collins glass. Garnish with an orange slice and a lime slice.,Collins Glass,14
Creole Lady,Whiskies,1.5 oz, Bourbon whiskey,1.5 oz, Madeira,,1 oz,,,,,,,Cherry,Stir with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Rum Coooler,Cocktail Classics,.5 tsp ,powdered sugar,2 oz, carbonated water,,1 oz,,ginger ale,,,,,"Orange Twist, Lemon Twist","In collins glass, dissolve powdered sugar in carbonated water. Stir. Fill glass with ice and add rum. Fill with carbonated water or ginger ale and stir again. Garnish with an orange twist or a lemon twist.",Collins Glass,14
Siberian Sleighride,Vodka,1.25 oz, Vodka,.75 oz, White creme de cacao,,.5 oz,3 oz, half-and-half,,,,,Chocolate Shavings,Shake with ice and strain into chilled snifter. Sprinkle with chocolate shavings.,poco_grande,8
Cotton Club Flip,Whiskies,2 oz, Vanilla-Infused Bourbon,.5 oz, Honey-Currant Syrup,,.75 oz,1 oz, Egg White,2 oz, Rhubarb bitters,,,Cotton Candy,Shake first four ingredients without ice. Add ice and shake again. Strain into ice-filled old-fashioned glass. Top with bitters. Garnish with cotton candy.,Old-Fashioned Glass,6
Golden Dawn,Brandy,1 oz, Apple Brandy,.5 oz, Apricot-Flavored Brandy,,.5 oz,1 oz,  orange juice,1 oz, Grenadine,,,,Shake first four ingredients with ice and strain into ice-filled oldfashioned glass. Add grenadine.,Old-Fashioned Glass,6
Sidecar,Cocktail Classics,1 oz, Cognac,1 oz, Triple Sec,,.5 oz,1.5 oz, Vodka,1 oz, Madeira,.5 oz,  orange juice and orange wheel,,Shake with ice and strain into a chilled cocktail glass.,Cocktail Glass,6
Shalom,Vodka,1.5 oz, Vodka,1 oz, Madeira,,.5 oz,2 oz, Bourbon Whiskey,.75 oz, White creme de cacao,.5 oz,  lemon juice,Orange Slice,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with an orange slice.,Old-Fashioned Glass,6
Commodore Cocktail,Whiskies,2 oz, Bourbon Whiskey,.75 oz, White creme de cacao,,.5 oz,1 oz, Grenadine,,,,,,Shake with ice and strain into chilled champagne flute.,champagne_flute,6
Sea Breeze,Vodka,1.5 oz, Vodka,4 oz, Cranberry Juice,,1 oz,,,,,,,Lime Slice,Pour into ice-filled highball glass. Garnish with a lime slice.,Highball Glass,7
Screwdriver,Vodka,1.5 oz, Vodka,5 oz, Orange juice,,,,,,,,,,Pour into ice-filled highball glass. Stir well.,Highball Glass,7
Coffee Old-Fashioned,Whiskies,2 oz, Bourbon whiskey,.75 oz, Simple Syrup,,2 oz,1 oz, Cold brewed coffee,2 oz, Soda water,,,"Orange Slice, Cherry","Pour bourbon, syrup, bitters, and coffee into ice-filled old-fashioned glass and stir. Add soda water and stir again. Garnish with an orange slice and a cherry.",Old-Fashioned Glass,6
Dry Martini,Cocktail Classics,1.66 oz, Mr. Boston Gin,.33 oz, Dry Vermouth,,,,,,,,,Olive,Stir or shake with ice and strain into cocktail glass.  Garnish with an olive. ,Cocktail Glass,6
Salty Dog,Vodka,,,1.5 oz, Vodka,,5 oz,,,,,,,Salt,Rim highball glass with lemon and salt. Fill with ice. Add vodka and grapefruit juice and stir.,Highball Glass,7
Dr. Cook,Cocktail Classics,.75 oz, Mr. Boston Gin,1 oz, Lemon Juice,,1 oz,1 oz, Egg White,,,,,,Shake with ice and strain into wine glass.,poco_grande,12
Dillatini Cocktail,Cocktail Classics,1.5 oz, Mr. Boston Gin,.75 oz, Dry Vermouth,,,,,,,,,Dilly Bean,Serve with a dilly bean.,Cocktail Glass,6
Chi-Town Flip,Whiskies,2 oz, Bourbon whiskey,.75 oz, Tawny port,,.75 oz,.75 oz, Vanilla liqueur and 3 oz,.25 oz, Simple Syrup,1 oz, Whole Egg and grated nutmet,Nutmeg,Shake first six ingredients without ice. Add ice and shake again. Strain into ice-filled Collins glass. Add bitters and top with nutmeg.,Collins Glass,14
Chef's Pain,Vodka,2 oz, Bourbon whiskey,.75 oz,  Lime Juice,,.5 oz,.5 oz, B & B,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Sampan Shipwreck A,Vodka,1.5 oz, Vodka,.5 oz, Orange liqueur,,.5 oz,.5 oz, Cold brewed chai tea,.5 oz, orgeat or almond syrup,,,Pineapple Slice,Shake well with ice. Double-strain into chilled cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6
Chas,Whiskies,1.5 oz, Bourbon whiskey,.25 oz, Amaretto,,.25 oz,.25 oz, Triple Sec,.25 oz, Orange curacao,,,Orange Twist,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Goat's Delight,Brandy,1 oz, Brandy,1.5 oz, Kirschwasser,,.25 oz,1 oz, orgeat or almond syrup,1 oz, Absinthe or pastis,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Russian Bear Cocktail,Vodka,1 oz, Vodka,.5 oz, White creme de cacao,,.5 oz,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Character Development,Whiskies,2 oz, Scotch Whiskey,.5 oz, Coconut liqueur,,.5 oz,2 oz, Grapefruit bitters,,,,,Grapefruit Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6
Ruby Red,Vodka,2 oz, Grapefruit-flavored vodka,1.5 oz, Triple Sec,,1.5 oz,1 oz,  orange juice,,,,,Grapefruit Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6
Chaplin,Whiskies,.75 oz, Bourbon whiskey,.75 oz, Dry Sherry,,.75 oz,1 oz, Triple Sec,2 oz, Orange Bitters,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Rouxby Red,Vodka,,,1.5 oz, Grapefruit-flavored vodka,,.25 oz,.75 oz, Grapefruit Juice,.5 oz, Campari,.5 oz, Simple Syrup,,Rim chilled cocktail glass with lemon and salt. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6
Rosemary Clementine Sparkle,Vodka,.25 oz, Clementine or mandarin orange,1.5 oz, Vodka,,.75 oz,.75 oz, Honey Syrup,1 oz,  rosemary sprig,1 oz, Chilled sparkling wine or Champagne,Rosemary,"Squeeze clementine into mixing glass. Twist rind and add to glass. Add vodka, lemon juice, syrup, and rosemary sprig. Add ice and shake. Strain into chilled cocktail glass. Top with sparkling wine or Champagne. Garnish with rosemary sprig.",Cocktail Glass,6
Chapel Hill,Whiskies,2 oz, Bourbon whiskey,.5 oz, Triple Sec,,.5 oz,,,,,,,Orange Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a orange twist.,Cocktail Glass,6
Robin's Nest,Vodka,1 oz, Vodka,1 oz, Cranberry Juice,,.5 oz,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Chancellor Cocktail,Whiskies,1.5 oz, Blended Scotch Whiskey,.5 oz, Dry Vermouth,,.5 oz,1 oz, Peychaud's Bitters,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Cafe di Saronno,Cocktail Classics,1 oz, Amaretto di Saronno,, Hot Black Coffee,,,,,,,,,Whipped Cream,Add 1 oz. Amaretto di Saronno to a cup of black coffee. Top with whipped cream.,ROCK,10
Carre Reprise,Whiskies,1 oz, Straight rye whiskey,1 oz, Cognac,,1 oz,.5 oz, Elderflower liqueur,1 oz, Angostura Bitters,1 oz, Peychaud's Bitters,Lemon Twist,Stir with ice. Strain into ice-filled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Gilroy Cocktail,Brandy,.75 oz, cherry-flavored brandy,.75 oz, Gin,,.5 oz,.5 oz,  lemon juice,1 oz, Orange Bitters,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Redhead Martini,Vodka,4 oz," Strawberries, cut into halves",.75 oz,  lemon juice,,.75 oz,1.5 oz, Citrus-flavored vodka,1 oz, Chilled Moscato d'Asti or sweet sparkling wine,,,Strawberry,Muddle halved strawberries in mixing glass with lemon juice and syrup. Add vodka and ice and shake well. Strain into chilled cocktail glass. Add sparkling wine. Garnish with a strawberry.,Cocktail Glass,6
Red Apple,Vodka,1.5 oz, Vodka,1 oz, Apple juice,,.5 oz,1 oz, Grenadine,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Canal Street Daisy,Whiskies,1 oz, Blended Scotch Whiskey,1 oz, Orange juice,,.75 oz,1 oz, Soda water,1 oz,,,,Orange Slice,Add Scotch and juices to ice-filled Collins glass and stir. Fill with soda water and stir again. Garnish with an orange slice.,Collins Glass,14
Canadian Cocktail,Whiskies,1.5 oz, Canadian whisky,.5 oz, Triple Sec,,.5 oz,1 oz, Angostura Bitters,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Purple Ruby,Vodka,1.5 oz, Vodka,1.5 oz, Pomegranate juice,,.5 oz,.25 oz,  Lime Juice,.25 oz, Honey Syrup,,,Grapefruit Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6
Canadian Cherry,Whiskies,1 oz, Maraschino liqueur,1.5 oz, Canadian whisky,,.5 oz,.5 oz,  lemon juice,.5 oz, Orange juice,,,,Moisten rim of old-fashioned glass with maraschino liqueur. Fill with ice. Shake ingredients with ice and strain into glass.,Old-Fashioned Glass,6
Orange Smile,Cocktail Classics,1 oz, Egg,1 oz, Juice of Orange,,1 oz,,,,,,,,Shake with ice and strain into stem goblet.,poco_grande,12
Purple Passion Iced Tea,Vodka,.5 oz, Vodka,.5 oz, Light Rum,,.5 oz,.5 oz, Black raspberry liqueur,.5 oz, Simple Syrup,.75 oz,  lemon juice and 3 oz,Lemon Twist,Pour ingredients into ice-filled highball glass in order listed and stir. Garnish with a lemon twist.,Highball Glass,7
Canadian Breeze,Whiskies,1.5 oz, Canadian whisky,.75 oz, Pineapple Juice,,.5 oz,.25 oz, Maraschino liqueur,1 oz,,,,"Pineapple Slice, Cherry",Shake with ice. Strain into ice-filled old-fashioned glass. Garnish with a pineapple slice and a cherry.,Old-Fashioned Glass,6
Purple Passion,Vodka,1.5 oz, Vodka,2 oz, Grapefruit Juice,,2 oz,.5 oz, Simple Syrup,,,,,,Shake with ice. Pour with ice into Collins glass.,Collins Glass,14
Cameron's Kick Cocktail,Whiskies,.75 oz, Blended Scotch Whiskey,.75 oz, Irish Whiskey,,.5 oz,2 oz, Orange Bitters,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Georgia Mint Julep,Brandy,2 oz, Mint sprigs,.25 oz, Simple Syrup,,1.5 oz,1 oz, Peach-flavored brandy,,,,,Mint,Muddle mint and syrup in Collins glass. Fill with ice. Add brandy and peach-flavored brandy. Stir and garnish with mint.,Collins Glass,14
California Lemonade,Whiskies,2 oz, Bourbon whiskey,1 oz,  lemon juice,,1 oz,1 oz, Simple Syrup,.25 oz, Grenadine,1 oz, Soda water,"Orange Slice, Lemon Slice, Cherry","Shake first five ingredients with ice. Strain into shaved ice-filled Collins glass. Fill with soda water and garnish with an orange slice, a lemon slice, and a cherry. Serve with straws.",Collins Glass,14
Boston Side Car ,Cocktail Classics,.75 oz, Mr. Boston Five Star Brandy,.75 oz, Mr. Boston Rum,,.75 oz,.5 oz, Juice of a Lime,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Cablegram,Whiskies,2 oz, Bourbon whiskey,1 oz,  lemon juice,,.5 oz,1 oz, Ginger ale,,,,,,Stir first three ingredients in ice-filled highball glass. Fill with ginger ale.,Highball Glass,7
Bull And Bear,Whiskies,1.5 oz, Bourbon whiskey,.75 oz, Orange curacao,,1 oz,.25 oz, Grenadine,,,,,"Cherry, Orange Slice",Shake with ice and strain into chilled cocktail glass. Garnish with a cherry and an orange slice.,Cocktail Glass,6
Brooklyn,Whiskies,1.5 oz, Rye or bourbon whiskey,.5 oz, Sweet Vermouth,,1 oz,1 oz, Maraschino liqueur,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Brighton Punch,Whiskies,.75 oz, Bourbon whiskey,.75 oz, Brandy,,.75 oz,2 oz, Orange juice,1 oz,  lemon juice,, Soda water,"Orange Slice, Lemon Slice",Shake first five ingredients with ice and pour with ice into Collins glass. Fill with soda water and stir gently. Garnish with an orange slice and a lemon slice and serve with a straw.,Collins Glass,14
Bourbon Renewal,Whiskies,2 oz, Bourbon whiskey,1 oz,  lemon juice,,.5 oz,.5 oz, Simple Syrup,1 oz, Angostura Bitters,,,,Shake with ice. Strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Bourbon Highball,Whiskies,2 oz, Bourbon whiskey,, Ginger ale or soda water,,,,,,,,,Lemon Twist,Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water and stir. Garnish with a lemon twist.,Highball Glass,7
Bourbon And Elder,Whiskies,2 oz, Bourbon whiskey,.75 oz, Elderflower liqueur,,1 oz,, ,,,,,Lemon Twist,Stir with ice and strain into chilled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Bourbon Crusta,Whiskies,,,2 oz, Bourbon whiskey,,.5 oz,1 oz, Maraschino liqueur,1 oz,  lemon juice,2 oz, Orange Bitters,Sugar,Rim chilled cocktail glass with lemon and sugar. Curl the zest spiral in glass. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6
Bourbon Cooler,Whiskies,2.5 oz, Bourbon whiskey,.5 oz,  lemon juice,,.5 oz,.5 oz, Orgeat Syrup,,,,,Peach Slice,Shake with ice in mixing glass. Pour with ice into old-fashioned glass. Garnish with a peach slice.,Old-Fashioned Glass,6
Froupe Cocktail,Brandy,1.5 oz, Brandy,1.5 oz, Sweet Vermouth,,1 oz,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Bourbon A La Creme,Whiskies,2 oz, Bourbon whiskey,1 oz, Dark creme de cacao,,.5 oz,,,,,,,,Stir ingredients with ice. Strain into chilled old-fashioned glass.,Old-Fashioned Glass,6
The Bone,Whiskies,2 oz, Bourbon whiskey,.5 oz,  Lime Juice,,.5 oz,3 oz, Hot red pepper sauce,,,,,,Shake with ice and strain into chilled shot glass.,rocks,1
Bobby Burns Cocktail,Whiskies,1.5 oz, Blended Scotch Whiskey,1.5 oz, Sweet Vermouth,,1 oz,,,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
White Cargo Cocktail,Cocktail Classics,1 oz, Vanilla Ice Cream,1 oz, Mr. Boston Gin,,,,,,,,,,Shake until thoroughly mixed and add water or sauterne if the mixture if too thick. Serve in an old-fashioned glass.,Old-Fashioned Glass,6
Blood and Sand,Whiskies,.5 oz, Blended Scotch Whiskey,.5 oz, cherry-flavored brandy,,.5 oz,.5 oz, Orange juice,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
The Blinker,Whiskies,2 oz, Straight rye whisky,1.5 oz, Grapefruit Juice,,1 oz,,,,,,,"Grapefruit Twist, Raspberry",Shake and strain into cocktail glass. Garnish with a grapefruit twist or a raspberry.,Cocktail Glass,6
Pike's Peak Cooler,Cocktail Classics,,Cider,.5 oz, Juice of a Lemon,,1 oz,1 oz, Whole Egg,,,,,"Orange Twist, Lemon Twist",Shake with ice and strain into collins glass with cracked ice. Fill with cider and stir. Garnish with an orange twist or lemon twist.,Collins Glass,14
Blarney Stone Cocktail,Whiskies,2 oz, Irish Whiskey,.5 oz, Anisette,,.5 oz,.5 oz, Maraschino liqueur,1 oz, Angostura Bitters,,,"Orange Twist, Olive",Shake with ice and strain into chilled cocktail glass. Garnish with an orange twist and olive.,Cocktail Glass,6
Pacman,Cocktail Classics,2 oz, Lemon Juice,1 oz, Grenadine,,1 oz,, Ginger ale,,,,,Orange Slice,"Add grenadine, lemon juice, and bitters to collins filled with ice. Top with ginger ale. Garnish with an orange slice and slide down side of glass.",Collins Glass,14
Lemonade (Golden),Cocktail Classics,1 oz, Juice of a Lemon,2 oz, Powdered Sugar,,1 oz,6 oz, Water,,,,,"Orange Slice, Lemon Slice, Cherry","Shake with ice and strain into collins glass. Garnish with an orange slice, a lemon slice, and a cherry.",Collins Glass,14
Black Hawk,Whiskies,1.5 oz, Bourbon whiskey,1.5 oz, Sloe gin,,1 oz,,,,,,,Cherry,Stir with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Lemonade (Egg),Cocktail Classics,1 oz, Juice of a Lemon,2 oz, Powdered Sugar,,1 oz,,,,,,,,Shake and strain into collins glass over ice cubes. Add enough water to fill glass. Serve with straws.,Collins Glass,14
Bensonhurst,Whiskies,1 oz, Cynar,2 oz, Straight rye whiskey,,1 oz,.25 oz, Maraschino liqueur,,,,,,Swirl Cynar in chilled cocktail glass to coat inside; discard excess Cynar. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6
Chocolate Daisy,Cocktail Classics,.5 oz, Juice of a Lemon,.5 oz, Powdered Sugar,,1 oz,1.5 oz, Brandy,1.5 oz, Port,,,Seasonal Fruit,Shake with ice and strain into stein or metal cup. Add ice cubes and decorate with seasonal fruit,ROCK,10
The Beautiful Day,Whiskies,1.25 oz, Irish Whiskey,.75 oz, Rhubarb Syrup,,2 oz,, Edible flowers,,,,,Edible Flowers,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with edible flowers.,Old-Fashioned Glass,6
French Quarter,Brandy,2 oz, Brandy,.75 oz, Lillet Blanc,,,,,,,,,Lemon Slice,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon slice.,Cocktail Glass,6
Creme de Gin Cocktail,Cocktail Classics,1.5 oz, Gin,.5 oz, White creme de menthe,,1 oz,2 oz, Lemon Juice,2 oz, Orange Juice,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Creamy Screwdriver,Cocktail Classics,2 oz, Vodka,1 oz, Egg Yolk,,6 oz,1 oz, Sugar,,,,,,Combine all ingredients with a half-cup of crushed ice in an electric blender. Blend at low speed and pour into collins glass.,Collins Glass,14
Creamy Orange,Cocktail Classics,1 oz, Orange Juice,1 oz, Cream sherry,,.75 oz,1 oz, Light cream,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Creamsicle,Cocktail Classics,1.5 oz, Vanilla liqueur,1.5 oz, Milk,,3 oz,,,,,,,,"Fill a tall glass with ice, add the above ingredients, and stir.",Collins Glass,14
Cowboy Cocktail,Cocktail Classics,1.5 oz, Blended whiskey,1 oz, Light cream,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Beals Cocktail,Whiskies,1.5 oz, Blended Scotch Whiskey,.5 oz, Dry Vermouth,,.5 oz,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Coronation Cocktail,Cocktail Classics,.75 oz, Gin,.75 oz, Dubonnet,,.75 oz,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Cornell Cocktail,Cocktail Classics,.5 oz, Lemon Juice,1 oz, Maraschino,,1 oz,1.5 oz, Gin,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Combo,Cocktail Classics,2.5 oz, Dry Vermouth,1 oz, Brandy,,.5 oz,.5 oz, Powdered Sugar,1 oz, Bitters,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Basin Street,Whiskies,2 oz, Bourbon whiskey,.75 oz, Triple Sec,,.75 oz,,,,,,,,Shake well with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Cole's Raspberry Cream,Cocktail Classics,1.5 oz, Raspberry Yogurt,1.5 oz, Raspberry Ice Cream,,1.5 oz,1.5 oz, Vodka,2 oz, Heavy cream,,,,Shake or blend.,champagne_flute,6
Cognac Coupling,Cocktail Classics,2 oz, Cognac,1 oz, Tawny port,,.5 oz,1 oz, Lemon Juice,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Coffee Sour,Cocktail Classics,1.5 oz, Coffee-flavored brandy,1 oz, Lemon Juice,,1 oz,.5 oz, Egg White,,,,,,Shake with ice and strain into sour glass.,sour,5
Coffee Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,,1 oz,1 oz, Port,2 oz, Light Cream (if desired),,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,sour,5
Coffee Cocktail,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,,1 oz,1 oz, Brandy,,,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,sour,5
Purple Mask,Vodka,1 oz, Vodka,1 oz, Concord grape juice,,.5 oz,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Clove Cocktail,Cocktail Classics,1 oz, Sweet Vermouth,.5 oz, Sloe gin,,.5 oz,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Clover Leaf Cocktail,Cocktail Classics,1 oz, Juice of a Lime,2 oz, Grenadine,,1 oz,1.5 oz, Gin,,,,,Mint,Shake with ice and strain into cocktail glass. Garnish with mint.,Cocktail Glass,6
Clover Club Cocktail,Cocktail Classics,1 oz, Juice of a Lemon,2 oz, Grenadine,,1 oz,1.5 oz, Gin,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Priority Cocktail,Vodka,2 oz, Vodka,.5 oz, Calvados,,.5 oz,,,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6
Clamato Cocktail,Cocktail Classics,1.5 oz, Vodka,1 oz, Clam Juice,,3 oz,,,,,,,,"Shake with ice, strain, and serve over ice cubes in old-fashioned glass.",Old-Fashioned Glass,6
Cider Eggnog,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,,.5 oz,,,,,,,Nutmeg,Shake with ice and strain into collins glass. Then fill the glass with cider and stir. Top with nutmeg.,Collins Glass,14
Chocolate Soldier,Cocktail Classics,.5 oz, Juice of a Lime,.75 oz, Dubonnet,,1.5 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Chocolate Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,,.75 oz,.75 oz, Brandy,2 oz, Light Cream (if desired),,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg .,sour,5
Chocolate Cocktail,Cocktail Classics,1.5 oz, Port,1.5 oz, Yellow Chartreuse,,1 oz,1 oz, Powdered Sugar,,,,,,Shake with ice and strain into sour glass.,sour,5
Chicago Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,1 oz,1 oz, Port,1 oz, Light Rum,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Pretty In Pink,Vodka,2 oz, Vodka,.5 oz, Cranberry Juice,,.75 oz,.75 oz,  lemon juice,,,,,,Shake first four ingredients and strain into ice-filled Collins glass. Top with soda water.,Collins Glass,14
Cherry Wine Cocktail,Cocktail Classics,.75 oz, Danish Cherry Wine,.75 oz, Vodka,,.5 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
